vehicle_age_years,mileage_km,brand_tier,accident_count,service_history,ownership_count,vehicle_color,feature_package,market_demand,fuel_type,transmission,body_type,resale_value_usd
18.0,50525.27703820471,Luxury,0.0,Partial,4.0,Other,Mid,,Diesel,Manual,Convertible,40450.18028389221
7.0,140660.64421392482,Mainstream,0.0,None,4.0,Red,,Medium,Petrol,Automatic,Convertible,28688.93688424616
14.0,222333.45955491453,Budget,1.0,Partial,4.0,White,Premium,High,Petrol,Manual,Sedan,14746.840171962669
18.0,160727.46541044046,Luxury,1.0,Partial,3.0,Silver,Mid,Low,Hybrid,Automatic,Convertible,5065.921613532981
19.0,167726.06477903386,Premium,1.0,None,2.0,Silver,Premium,Low,Electric,Manual,Sedan,55196.99186868509
5.0,227688.21657225915,Budget,1.0,Complete,2.0,Blue,Premium,High,Hybrid,Automatic,Truck,5352.026117632785
9.0,188609.1808529208,Mainstream,0.0,Partial,2.0,Blue,Premium,Low,Diesel,Automatic,SUV,73904.57319511686
18.0,217159.17991408802,Mainstream,0.0,None,3.0,Red,Luxury,High,Electric,Manual,Convertible,48755.71193642819
13.0,107016.06250566701,Luxury,1.0,Partial,3.0,Silver,Base,Medium,Electric,Manual,Sedan,30203.739382214095
5.0,217012.30275416942,Mainstream,1.0,None,4.0,Red,Luxury,High,Hybrid,Automatic,Truck,6227.346457547912
15.0,163236.0401986319,Luxury,0.0,Complete,2.0,,,Medium,Hybrid,Automatic,Coupe,34838.46456486093
19.0,38223.90677162784,Mainstream,0.0,Partial,4.0,,Mid,High,Electric,Automatic,Truck,69782.06417255622
11.0,,Budget,0.0,None,2.0,Blue,Premium,Low,,Automatic,SUV,77676.39701468134
9.0,64788.43135301717,Premium,1.0,Partial,1.0,Other,Luxury,Medium,Electric,Automatic,Truck,9539.485668297315
16.0,97695.66396253934,Budget,2.0,Partial,3.0,Other,Mid,High,Hybrid,Manual,Convertible,62839.63427503872
11.0,210204.1271898099,Premium,0.0,Complete,1.0,Red,Luxury,Medium,Electric,Automatic,Convertible,22893.53636411741
2.0,186604.91647119768,Luxury,1.0,Complete,2.0,Black,,High,Diesel,Automatic,Coupe,32216.64124361458
8.0,239067.0533126948,Mainstream,0.0,Partial,4.0,Other,Luxury,High,Petrol,Automatic,Sedan,45170.787157810584
5.0,141997.82569289397,Budget,2.0,None,3.0,Silver,,Medium,Hybrid,Manual,Truck,79594.11523064478
11.0,,Mainstream,1.0,None,3.0,White,Mid,Medium,Electric,Automatic,Coupe,19078.747119765183
11.0,72444.42938444306,Luxury,1.0,Partial,4.0,Black,Luxury,Medium,Petrol,Automatic,Convertible,13048.375512009998
9.0,171496.58375935024,Premium,0.0,None,1.0,White,Mid,Low,Petrol,Automatic,Sedan,48813.22795892203
,178007.04462139012,Budget,1.0,Partial,1.0,White,Premium,High,Petrol,Automatic,Sedan,68684.77282737523
5.0,212861.7554627925,Premium,1.0,Partial,1.0,Silver,Premium,High,Hybrid,Automatic,SUV,52912.61643665944
9.0,136418.86016439553,Premium,2.0,Partial,1.0,White,Premium,Medium,Hybrid,Automatic,Convertible,29763.382898210162
1.0,164006.26116081837,Luxury,2.0,Partial,3.0,Red,Premium,High,Diesel,Automatic,Sedan,78227.65772798331
10.0,54746.958475700216,Premium,1.0,Partial,2.0,Black,Base,High,Hybrid,Manual,SUV,79617.4705173477
8.0,185505.97708098058,Luxury,0.0,Complete,4.0,,Luxury,High,Hybrid,Automatic,SUV,62339.980913817264
19.0,210410.87204683313,Premium,1.0,None,2.0,Other,Premium,Medium,Hybrid,Automatic,Convertible,64786.05501680267
16.0,150465.74781567202,Premium,0.0,Complete,2.0,Other,,High,Petrol,Manual,Sedan,61584.808013799615
13.0,33340.24328167856,Budget,1.0,Complete,1.0,White,Premium,High,Diesel,Automatic,Sedan,22839.893766419227
5.0,81650.05229642603,Luxury,1.0,Partial,2.0,Blue,Base,Low,Petrol,Manual,Truck,14570.33869109446
18.0,121501.08949776605,Mainstream,1.0,None,1.0,Blue,Luxury,Low,Diesel,Manual,Sedan,45685.21986639017
9.0,170904.78589369438,Mainstream,0.0,Partial,1.0,Red,Mid,,Hybrid,,SUV,76469.25721801547
4.0,83480.14142698023,Mainstream,,Complete,2.0,Other,Base,High,Electric,Automatic,Coupe,70628.50627012363
14.0,210871.30757808298,Budget,0.0,Partial,4.0,Blue,,High,Hybrid,Automatic,Convertible,11228.199632784332
7.0,96088.49888452387,Budget,0.0,None,2.0,White,Premium,Low,Petrol,Automatic,Coupe,7388.319822054124
12.0,15494.905247005392,Premium,0.0,Partial,2.0,Other,,Medium,Petrol,Manual,Sedan,70280.35065853945
7.0,199528.6320841096,Premium,0.0,Partial,3.0,White,Luxury,Medium,Petrol,Manual,SUV,50202.16056016524
11.0,162834.6765302051,Mainstream,0.0,Partial,1.0,Black,Luxury,High,Diesel,Automatic,Coupe,26432.720163820184
15.0,201479.34120902093,,1.0,Complete,3.0,Other,Mid,Low,Petrol,Automatic,Convertible,46256.14746593152
7.0,90478.00425038891,Premium,1.0,None,4.0,Blue,Base,Low,Electric,Manual,Truck,20068.481553382862
17.0,9319.39707739823,Budget,0.0,Partial,2.0,Silver,Luxury,Low,Electric,Automatic,Coupe,75915.28925508418
5.0,23069.466296167844,Mainstream,1.0,Partial,3.0,Blue,Base,High,,Automatic,Truck,66694.2227818094
8.0,32391.191271702668,Luxury,1.0,Partial,3.0,White,Luxury,,Diesel,Automatic,Sedan,77092.32729343172
10.0,202261.15664814692,Mainstream,2.0,None,2.0,Black,,High,Diesel,Automatic,Sedan,17403.402933665122
6.0,78851.51481823855,Budget,1.0,,,Blue,Premium,Low,Hybrid,Manual,Convertible,67962.62282314271
2.0,249485.13480850335,Mainstream,2.0,Complete,1.0,Black,Luxury,Medium,Petrol,Manual,Truck,46141.992891390146
5.0,190805.15714173688,Luxury,0.0,Complete,1.0,Blue,Luxury,High,Petrol,Automatic,Truck,28024.383613145765
10.0,152282.9635071068,Premium,1.0,Partial,3.0,Red,Base,High,,Automatic,Convertible,39934.078337738974
3.0,245986.75593912406,Mainstream,2.0,Partial,,White,Luxury,Medium,Hybrid,Manual,Coupe,75717.56611307387
13.0,82495.75113754689,Budget,2.0,Partial,1.0,White,,Medium,Hybrid,Automatic,Convertible,56241.8723248307
16.0,45575.81443468693,Budget,0.0,Partial,1.0,Silver,Base,Low,Hybrid,Automatic,Sedan,
15.0,185631.87756457223,Mainstream,0.0,Complete,4.0,White,Luxury,High,Diesel,Manual,Truck,79992.27569127642
2.0,73130.4278034622,Premium,1.0,Complete,3.0,Silver,Base,Low,Diesel,Automatic,SUV,29622.204865516866
3.0,240454.0473763555,Premium,2.0,Complete,3.0,White,Base,High,Petrol,Manual,SUV,65656.42332119154
18.0,247076.98150129188,Budget,0.0,Partial,3.0,Blue,Base,Low,Diesel,Manual,Sedan,63397.05595992142
15.0,231969.07678121168,Budget,0.0,None,2.0,Blue,Base,Low,Diesel,Automatic,,58665.35113159679
5.0,236466.63191283846,Luxury,0.0,Partial,4.0,Red,Premium,Medium,Diesel,Manual,Truck,54546.5945611188
11.0,155835.4302670082,Premium,0.0,Complete,,Blue,Premium,High,Hybrid,Manual,Convertible,11367.235228567166
3.0,174569.06914431433,Mainstream,1.0,Complete,4.0,Black,Premium,Medium,Diesel,Automatic,Coupe,79611.60767024301
9.0,28090.30865431013,Budget,1.0,None,1.0,,Premium,Medium,Petrol,Automatic,Convertible,15400.296872880028
7.0,191947.28913352877,Budget,1.0,Complete,1.0,Silver,Base,Medium,Diesel,Automatic,SUV,48902.319376252126
2.0,54505.52395383913,Budget,0.0,Complete,4.0,Other,Base,High,Hybrid,Manual,Truck,22184.3810396655
15.0,210879.88462757377,Budget,0.0,,3.0,Red,,Low,Diesel,Manual,Coupe,15995.868891533419
12.0,240575.29604969535,Premium,2.0,Partial,2.0,Other,Base,Low,Electric,Automatic,Convertible,46078.83360183336
16.0,57032.51914554096,Budget,2.0,Complete,4.0,Other,Premium,High,Petrol,Manual,Coupe,67398.50071437348
16.0,,Premium,0.0,Complete,3.0,Black,Luxury,High,,Automatic,SUV,32024.81554759058
16.0,123553.08412063301,Luxury,1.0,Partial,3.0,Black,Premium,Low,Petrol,Automatic,Coupe,8942.004809645405
19.0,198929.59612733574,Luxury,1.0,Complete,2.0,White,Base,Low,Hybrid,,Truck,51029.43629395113
3.0,193806.84163616312,Mainstream,2.0,Complete,2.0,Silver,Base,,Petrol,Manual,Coupe,62015.12955210142
4.0,175720.53388586314,Budget,0.0,Partial,3.0,,,Low,Electric,Manual,Coupe,25798.507031437573
1.0,206070.51760751157,Mainstream,1.0,,2.0,Blue,Base,Medium,Electric,Automatic,Convertible,56175.40498426679
,47872.146385812404,Premium,1.0,Complete,3.0,Blue,,Low,Petrol,Automatic,,8835.854828111213
15.0,164724.75068205677,Mainstream,0.0,Complete,1.0,White,Base,Low,Hybrid,Automatic,Coupe,30829.985904349596
5.0,153391.4323949242,Mainstream,0.0,Complete,2.0,Blue,Luxury,Low,Petrol,Automatic,SUV,39508.11716187371
12.0,42590.77232112482,Budget,0.0,Partial,1.0,Black,Mid,Medium,Diesel,Automatic,Coupe,63211.2010477986
4.0,106534.63230644418,Premium,0.0,None,2.0,Blue,Mid,Medium,Diesel,Manual,Convertible,29036.911605209796
15.0,213869.78123083911,Premium,1.0,Complete,3.0,Other,Mid,Low,,Manual,Convertible,37934.884014540694
6.0,243091.44199179916,Budget,1.0,Partial,3.0,Blue,Mid,Medium,Diesel,Manual,Truck,51383.25937601018
5.0,168030.3935064512,Premium,0.0,Complete,3.0,Black,Base,Medium,Diesel,Automatic,SUV,51054.15707325702
11.0,230875.55528662988,Luxury,0.0,Partial,3.0,Silver,Base,Medium,Hybrid,Automatic,Sedan,42867.53566206204
14.0,37352.061492937246,Budget,0.0,Complete,3.0,Other,Base,,Petrol,Automatic,Truck,28292.552650785823
11.0,243889.82878252206,Budget,1.0,None,3.0,Silver,Mid,High,Diesel,,Coupe,54584.19774935963
9.0,13209.0922992748,Budget,,Partial,2.0,Black,Luxury,Medium,Petrol,Automatic,SUV,67460.88457280309
10.0,134178.52200041985,Luxury,1.0,Complete,2.0,Black,Luxury,Low,Petrol,,Truck,14843.684930471787
6.0,76297.04072035068,Premium,2.0,None,1.0,Other,Mid,Medium,Diesel,Automatic,Convertible,29215.557279299752
11.0,,Luxury,1.0,Complete,4.0,Red,Base,Low,Hybrid,Manual,SUV,54493.62695367605
9.0,58298.189863890126,Luxury,0.0,Complete,2.0,Red,Mid,Medium,Hybrid,Manual,,61194.71287531415
5.0,7824.858999619004,,2.0,None,2.0,Blue,Premium,Low,Electric,Automatic,Coupe,63172.39275010507
,106579.31751286733,Mainstream,1.0,Complete,4.0,Other,Luxury,High,,Automatic,SUV,53301.94550052461
14.0,20706.45942827898,Premium,0.0,None,4.0,Other,Mid,Low,Electric,Manual,SUV,39826.80626334182
6.0,76072.67945099852,Premium,0.0,Partial,,Blue,Mid,Medium,Hybrid,Automatic,Sedan,52726.56954091371
4.0,162718.18445834107,Budget,0.0,None,1.0,Red,Mid,Medium,Diesel,Automatic,Coupe,13398.428667101638
10.0,77202.27827105866,Budget,1.0,Partial,3.0,Blue,Mid,,Diesel,Automatic,SUV,18997.613803395114
11.0,65219.340693702,Mainstream,3.0,Complete,1.0,Silver,Base,High,,Automatic,SUV,74419.89012955537
16.0,43096.43745223319,Luxury,0.0,None,1.0,Silver,,Medium,Hybrid,Automatic,Sedan,74007.16567946425
7.0,38117.207150707,Budget,0.0,Complete,4.0,White,Premium,Medium,Petrol,Manual,,58739.05452063749
18.0,133835.05642944772,Premium,2.0,Partial,2.0,Red,Base,Low,Electric,,Convertible,28182.63509520967
7.0,171969.2206211505,Budget,0.0,Partial,3.0,Silver,Mid,Low,Electric,Automatic,,52960.680342244515
15.0,115919.63540523071,Luxury,1.0,Partial,1.0,White,Mid,High,Hybrid,Automatic,Sedan,55959.95391867891
19.0,35282.75926672337,Mainstream,2.0,Partial,4.0,Black,Mid,Low,Petrol,Automatic,SUV,42663.85013964897
18.0,163700.29338277393,Luxury,1.0,None,3.0,Other,Mid,Medium,Diesel,Automatic,Sedan,60636.48867049702
15.0,141494.86508880134,Budget,0.0,None,3.0,Silver,,Low,Hybrid,Manual,Truck,5286.20148822336
18.0,98412.48654003453,Mainstream,2.0,None,4.0,White,Mid,High,Electric,Automatic,Convertible,22729.001305693593
3.0,85861.48489587332,Mainstream,0.0,Partial,1.0,Blue,Premium,High,Petrol,Automatic,,64172.678577774066
,49872.45833178479,Luxury,0.0,None,1.0,Other,Base,Medium,Petrol,Manual,Coupe,75279.9341640826
1.0,40843.36741370694,Budget,1.0,Partial,1.0,White,Luxury,Low,Petrol,Manual,Convertible,70458.76251869883
7.0,,Luxury,,None,,Silver,Mid,Medium,Electric,Automatic,Coupe,58169.9894105813
10.0,15199.62540534654,Budget,1.0,None,3.0,Blue,Premium,,Petrol,Manual,Truck,15743.253888417898
12.0,111973.7161363203,Budget,0.0,Complete,2.0,Blue,Base,High,Diesel,Manual,SUV,31391.402702634503
8.0,152385.6126748093,Premium,0.0,Complete,3.0,White,Base,Low,Electric,Automatic,Truck,6866.377023079009
17.0,235705.29744675822,Mainstream,0.0,None,3.0,White,Luxury,Low,Hybrid,Manual,Coupe,52269.358860265274
14.0,158327.8951030456,Budget,2.0,Complete,4.0,Silver,Base,Medium,Petrol,Automatic,Coupe,37639.469142480644
17.0,157898.63147969544,Luxury,0.0,Partial,3.0,Blue,Mid,,Electric,Manual,Coupe,47121.91452855826
6.0,96731.62737288338,Luxury,0.0,None,1.0,Red,Mid,Medium,Hybrid,Automatic,SUV,
17.0,37662.70328885747,Premium,1.0,Complete,4.0,White,Premium,Medium,Hybrid,Manual,Coupe,33973.43826667077
,114499.72504768135,Premium,,None,4.0,Red,Premium,Medium,Diesel,Automatic,Truck,26616.68185762861
13.0,151675.69817154092,Premium,0.0,None,4.0,Red,Base,High,Hybrid,Automatic,SUV,14596.553783566265
16.0,182388.23118067198,Mainstream,0.0,Complete,4.0,Blue,Luxury,Low,Diesel,Manual,Truck,14057.956494635997
12.0,207391.25960438055,Premium,1.0,Partial,4.0,Silver,Mid,High,Electric,Automatic,SUV,42930.171714175136
17.0,67702.38255668977,Mainstream,0.0,Complete,1.0,Red,Base,Medium,Diesel,Manual,Coupe,60690.56329775471
,64098.918430832426,,1.0,Partial,2.0,Silver,Luxury,High,Electric,Automatic,SUV,46463.60967344554
8.0,143498.46646060693,Mainstream,0.0,,2.0,White,Base,Medium,Electric,Automatic,Sedan,70243.53522042422
18.0,143673.7198679352,Budget,2.0,None,4.0,Blue,Luxury,Medium,,Automatic,Truck,27322.176611233586
11.0,58397.21019217971,Premium,3.0,Complete,2.0,Black,Premium,Low,Diesel,Automatic,Sedan,48818.5875591521
13.0,148931.45103606192,Mainstream,1.0,Partial,3.0,Blue,Mid,Medium,Electric,Manual,Sedan,53915.61175435386
12.0,89740.31824372675,Budget,0.0,Partial,2.0,Black,Premium,High,Petrol,Manual,Coupe,24613.151307873235
15.0,161632.15512526507,Premium,0.0,Complete,3.0,Other,Mid,Low,Diesel,Manual,Coupe,33515.416169301214
3.0,76305.9548496894,Budget,0.0,None,1.0,White,Luxury,Low,Diesel,Automatic,Sedan,48502.37032115228
3.0,150111.48905753624,Premium,1.0,,4.0,Silver,Luxury,Low,Hybrid,Automatic,,4611.659978085638
6.0,193235.96010304615,Luxury,0.0,Partial,,White,Base,Low,Petrol,Manual,Coupe,71269.04042409106
3.0,245138.90004697477,Mainstream,0.0,Partial,1.0,Blue,Luxury,Low,Hybrid,Manual,Truck,11551.93171313141
9.0,,Luxury,0.0,Partial,1.0,Black,Luxury,High,Electric,Manual,Sedan,6661.958291123228
11.0,128366.99309522581,Mainstream,,,4.0,,Base,Medium,Diesel,Manual,Truck,
8.0,124645.52541281642,Luxury,,Complete,2.0,Black,Base,Medium,Electric,Manual,Truck,
4.0,112236.50145425844,Premium,0.0,Partial,1.0,Blue,Mid,Medium,Petrol,Automatic,Truck,28309.700093819167
15.0,11798.896507216417,Luxury,0.0,Partial,2.0,Blue,Luxury,Medium,Diesel,Automatic,Sedan,36891.21180871682
5.0,45658.851884134114,,0.0,,2.0,,Base,Low,Electric,Automatic,Convertible,9488.874628997306
7.0,19501.326634493664,Mainstream,1.0,Complete,2.0,,Mid,Medium,Diesel,Automatic,Coupe,20949.056488638213
8.0,175606.9957699536,Premium,0.0,Complete,3.0,Black,Mid,Medium,Hybrid,Automatic,Truck,10519.881314513637
7.0,106242.48930345055,Luxury,0.0,Partial,2.0,Blue,Premium,Low,Petrol,Automatic,Sedan,20687.40716367653
8.0,20623.620126025344,Budget,0.0,Complete,2.0,White,Base,Low,Petrol,Automatic,Convertible,57154.79506687462
4.0,174190.89402519815,Mainstream,2.0,Partial,1.0,Red,Premium,Low,Petrol,Manual,Sedan,47297.39119508888
1.0,162886.78639284623,Budget,1.0,Complete,4.0,Silver,Mid,Medium,Diesel,Manual,Coupe,28715.761189683388
5.0,,Budget,0.0,Partial,3.0,Blue,Luxury,,Electric,Automatic,Sedan,23114.499552236623
11.0,,Budget,1.0,None,2.0,Red,Base,Low,Electric,Automatic,SUV,79809.64311968636
4.0,44577.1921870846,Budget,1.0,None,4.0,Silver,Base,High,Petrol,Automatic,SUV,62125.81163677706
2.0,20041.11294683136,Budget,0.0,Complete,2.0,Other,Mid,High,Diesel,Automatic,Truck,66297.40258654617
17.0,205199.53770562413,Luxury,0.0,Complete,2.0,Silver,Base,Medium,Diesel,Manual,Sedan,
12.0,57873.20474663717,Premium,0.0,None,1.0,White,Mid,Low,Diesel,Automatic,Sedan,7588.183136392593
2.0,137919.66391617482,Premium,1.0,None,4.0,Black,Base,Medium,Electric,Automatic,Truck,57871.31423331682
9.0,123878.16860938584,Budget,0.0,Complete,1.0,Blue,Base,High,Petrol,Automatic,Truck,17771.129882062633
6.0,230657.87240694597,Luxury,1.0,None,1.0,Red,Luxury,High,Electric,Automatic,,35775.46851095969
6.0,140347.7414093031,Budget,0.0,Complete,2.0,Other,Mid,Low,Hybrid,Automatic,Sedan,17180.826687416735
18.0,,Budget,0.0,Partial,2.0,Other,Premium,Medium,Diesel,Manual,Coupe,16634.53673786098
3.0,83278.73326037412,Mainstream,,Complete,2.0,Silver,Luxury,High,Hybrid,Manual,Coupe,11398.925280079142
15.0,239880.201933322,Luxury,0.0,None,4.0,Other,Mid,Low,Petrol,Automatic,,48758.02850205026
7.0,155031.5848561125,Budget,1.0,Partial,4.0,Black,Base,Medium,Petrol,Automatic,,59926.20572262287
13.0,6220.193979858228,Premium,1.0,Complete,4.0,Silver,,Low,Electric,Manual,Truck,7377.034376525901
10.0,141240.154615066,Mainstream,1.0,Partial,4.0,Blue,,Low,Petrol,Automatic,,24217.491830610274
4.0,94147.0201347743,Budget,1.0,Complete,2.0,,Luxury,High,Petrol,,Coupe,53694.36669561828
16.0,12867.490053213893,,0.0,Complete,2.0,Other,Mid,Medium,Electric,Manual,Convertible,33208.33372969141
9.0,110729.6974492357,Budget,0.0,Partial,1.0,White,Base,High,Electric,Manual,SUV,57259.27333639553
10.0,194523.78965276427,Luxury,0.0,Partial,2.0,Blue,Premium,Medium,Electric,Manual,Sedan,61460.57242592231
19.0,128428.4171993088,Budget,1.0,,4.0,Blue,Premium,Medium,Electric,Manual,SUV,5486.640765895363
17.0,161667.4761042987,Premium,0.0,Partial,3.0,Blue,Base,Low,Petrol,Manual,Sedan,32326.20292853302
1.0,161736.65910147765,Mainstream,1.0,Partial,2.0,Black,Premium,Low,Hybrid,Manual,Truck,59143.699126534055
13.0,169399.72910843958,Luxury,2.0,Partial,4.0,Red,Luxury,Medium,Electric,Manual,Coupe,32138.03073389554
4.0,,Mainstream,0.0,Complete,1.0,Red,Mid,Low,Petrol,Automatic,SUV,
15.0,95651.18556892703,Premium,0.0,Complete,2.0,Other,Mid,High,,Automatic,Truck,28895.32579292536
10.0,6123.210179592437,Budget,0.0,Complete,3.0,Blue,Premium,Medium,Petrol,Automatic,Sedan,70194.26224568978
9.0,42784.50282958566,Luxury,0.0,Complete,4.0,Red,,High,Petrol,Automatic,SUV,76299.29481432326
8.0,237948.50213148014,Budget,0.0,Partial,2.0,Other,Premium,Low,Petrol,,SUV,46159.78148115889
6.0,211392.0953681114,Luxury,1.0,None,4.0,Blue,Luxury,Medium,Electric,Automatic,SUV,26589.727934158986
10.0,72401.56716052623,Budget,0.0,,3.0,Red,Mid,Low,Electric,Automatic,SUV,38886.94710984288
17.0,103292.02748681689,Premium,0.0,Partial,3.0,Red,Mid,High,Diesel,Manual,SUV,21187.671581361774
5.0,235280.7242292351,Premium,,Complete,1.0,Other,Base,Medium,Diesel,Automatic,Truck,15945.678457186254
14.0,66358.8974906264,Budget,0.0,Complete,3.0,Silver,Base,Low,Electric,Automatic,Sedan,41002.21628526651
17.0,135470.57747578784,Premium,0.0,Partial,2.0,Other,Luxury,High,Electric,Manual,Sedan,59724.66714227481
11.0,10409.547093574118,Budget,0.0,Partial,3.0,Black,Mid,High,Electric,Manual,,20129.791604916056
4.0,156835.03490643762,Luxury,0.0,None,2.0,Silver,Mid,Low,,Automatic,Coupe,73034.37310036134
17.0,232868.03155272675,Premium,3.0,Partial,2.0,Silver,,,Electric,Manual,SUV,15953.528183801345
2.0,,Luxury,2.0,Complete,4.0,Red,Base,Low,Petrol,Manual,Sedan,45997.69138774449
1.0,127982.45905374564,Budget,1.0,Partial,2.0,White,Mid,Medium,Hybrid,Automatic,Coupe,62781.51090729765
18.0,164162.28320790565,Luxury,0.0,None,2.0,White,,High,Hybrid,Automatic,Coupe,19430.91316704835
7.0,144600.55753325493,Mainstream,0.0,Partial,1.0,Black,Premium,High,Petrol,Automatic,Truck,25826.222416514473
6.0,21408.689817773004,Budget,1.0,None,4.0,,Luxury,High,Petrol,Automatic,,6964.287160162984
6.0,43887.25428480274,Premium,1.0,Complete,,Red,Mid,Low,Diesel,Automatic,Convertible,75684.0265582436
14.0,241135.24211859112,Premium,0.0,None,1.0,Black,Premium,Low,Petrol,Manual,Coupe,40496.858890054886
12.0,67712.33073355994,Mainstream,0.0,Complete,,Silver,Luxury,Low,Electric,Automatic,Truck,7951.575479134674
14.0,99190.05794361785,Budget,0.0,Partial,3.0,Red,Luxury,High,Electric,Automatic,SUV,66919.76461401186
14.0,129691.35544885426,Budget,0.0,Partial,2.0,Silver,Mid,Medium,Diesel,Automatic,Sedan,46839.50024682219
12.0,,Budget,1.0,Complete,3.0,Black,Base,Low,Hybrid,Manual,Convertible,7256.923250462077
9.0,174048.40902629524,Budget,0.0,None,4.0,White,Luxury,Low,Hybrid,Automatic,SUV,37719.03593733111
9.0,159251.6319439395,Luxury,2.0,Complete,4.0,Black,,Low,Diesel,Automatic,Truck,36449.03428301639
2.0,133477.99324801052,Budget,1.0,Complete,1.0,Other,Base,High,Electric,Automatic,Truck,14248.29347486632
18.0,176665.2315756665,Luxury,,None,2.0,Red,Luxury,Medium,Diesel,Automatic,Truck,35368.70629972072
